prodcode,productname
59863,Dilzem XL 240 capsules (Lexon (UK) Ltd)
60415,Dilzem XL 180 capsules (Sigma Pharmaceuticals Plc)
60620,Adizem-XL 240mg capsules (Waymade Healthcare Plc)
61010,Diltiazem 120mg modified-release tablets (Cubic Pharmaceuticals Ltd)
61245,Diltiazem 60mg modified-release capsules (Sigma Pharmaceuticals Plc)
61532,Diltiazem 120mg modified-release capsules (Sigma Pharmaceuticals Plc)
62064,Diltiazem 120mg modified-release tablets (Mawdsley-Brooks & Company Ltd)
62065,Diltiazem 90mg modified-release tablets (Colorama Pharmaceuticals Ltd)
62207,Adizem-SR 120mg capsules (Waymade Healthcare Plc)
62912,Diltiazem 120mg modified-release capsules (AM Distributions (Yorkshire) Ltd)
65504,Adizem-SR 180mg capsules (Lexon (UK) Ltd)
65602,Adizem-XL 120mg capsules (Waymade Healthcare Plc)
65636,Adizem-XL 120mg capsules (Lexon (UK) Ltd)
66048,Tildiem Retard 120mg tablets (DE Pharmaceuticals)
66172,Uard 180XL capsules (Ennogen Healthcare Ltd)
66635,Dilzem XL 180 capsules (DE Pharmaceuticals)
66701,Diltiazem 240mg modified-release capsules (DE Pharmaceuticals)
66834,Uard 240XL capsules (Ennogen Healthcare Ltd)
66850,Diltiazem 240mg modified-release capsules (Icarus Pharmaceuticals Ltd)
67317,Dilzem XL 120 capsules (Mawdsley-Brooks & Company Ltd)
67344,Diltiazem 300mg modified-release capsules (Ennogen Pharma Ltd)
67890,Uard 300XL capsules (Ennogen Healthcare Ltd)
68054,Diltiazem 60mg modified-release tablets (Alliance Healthcare (Distribution) Ltd)
68429,Diltiazem 120mg modified-release capsules (Ethigen Ltd)
69028,Diltiazem 60mg modified-release capsules (DE Pharmaceuticals)
69108,Adizem-XL 300mg capsules (Lexon (UK) Ltd)
69116,Diltiazem 60mg modified-release tablets (DE Pharmaceuticals)
69277,Adizem-XL 240mg capsules (Lexon (UK) Ltd)
70306,Diltiazem 180mg modified-release capsules (Mawdsley-Brooks & Company Ltd)
70961,Tildiem Retard 90mg tablets (DE Pharmaceuticals)
71342,Dilzem XL 240 capsules (Waymade Healthcare Plc)
71413,Diltiazem 120mg modified-release capsules (A A H Pharmaceuticals Ltd)
71702,Diltiazem 60mg/5ml oral solution (Special Order)
71969,Diltiazem 300mg modified-release capsules (Sigma Pharmaceuticals Plc)
72091,Diltiazem 180mg modified-release capsules (DE Pharmaceuticals)
72488,Diltiazem 300mg modified-release capsules (A A H Pharmaceuticals Ltd)
72839,Diltiazem 300mg modified-release capsules (DE Pharmaceuticals)
74022,Tildiem LA 200 capsules (Waymade Healthcare Plc)
74029,Tildiem Retard 90mg tablets (Dowelhurst Ltd)
74053,Dilzem XL 240 capsules (Sigma Pharmaceuticals Plc)
74689,Diltiazem 240mg modified-release capsules (Ennogen Pharma Ltd)
74915,Diltiazem 120mg modified-release capsules (DE Pharmaceuticals)
77077,Diltiazem 10mg/5ml oral solution
77442,Tildiem 60mg modified-release tablets (Dowelhurst Ltd)
77947,Diltiazem 120mg/5ml oral solution
79116,Diltiazem 180mg modified-release capsules (J M McGill Ltd)
79574,Diltiazem 60mg modified-release tablets (Crescent Pharma Ltd)
19013,Clinium 120mg Tablet (LEO Pharma)
30758,Lidoflazine 120mg Tablet
21496,PERHEXILINE MALEATE 100 MG TAB
29116,Perhexiline maleate 100mg tablet
61230,Perhexiline maleate 100mg tablets
75641,Pexsig 100mg tablets (Imported (New Zealand))
23505,Adizem xl plus 150mg+12.5mg Modified-release capsule (Napp Pharmaceuticals Ltd)
18606,Diltiazem and hydrochlorothiazide 150mg+12.5mg modified-release capsules
2,Bendroflumethiazide 2.5mg tablets
58,Bendroflumethiazide 5mg tablets
1209,Neo-Naclex 5mg tablets (Mercury Pharma Group Ltd)
1211,Bendroflumethiazide 2.5mg / Potassium chloride 630mg (potassium 8.4mmol) modified-release tablets
1213,Neo-Naclex-K modified-release tablets (Mercury Pharma Group Ltd)
2979,Centyl k Tablet (Edwin Burgess Ltd)
7351,Bendroflumethiazide 2.5mg/5ml oral suspension
7698,Aprinox 5mg tablets (Amdipharm Plc)
8526,Aprinox 2.5mg tablets (Advanz Pharma)
17561,Bendroflumethiazide 2.5mg / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets
18973,Centyl 2.5mg Tablet (Edwin Burgess Ltd)
20426,Centyl k 2.5mg+7.7mmol Tablet (Edwin Burgess Ltd)
20431,Centyl K modified-release tablets (LEO Pharma)
21803,Berkozide 2.5mg Tablet (Berk Pharmaceuticals Ltd)
21867,Berkozide 5mg Tablet (Berk Pharmaceuticals Ltd)
23427,Bendroflumethiazide 5mg tablets (A A H Pharmaceuticals Ltd)
24189,Neo-bendromax 2.5mg Tablet (Ashbourne Pharmaceuticals Ltd)
24190,Neo-bendromax 5mg Tablet (Ashbourne Pharmaceuticals Ltd)
27256,Bendroflumethiazide 2.5mg tablets (Wockhardt UK Ltd)
27689,Bendroflumethiazide 2.5mg tablets (IVAX Pharmaceuticals UK Ltd)
29991,Centyl 5mg Tablet (Edwin Burgess Ltd)
31670,Bendroflumethiazide 2.5mg tablets (Teva UK Ltd)
31820,Bendroflumethiazide 5mg tablets (Wockhardt UK Ltd)
33415,Bendroflumethiazide 2.5mg tablets (Mylan)
33651,Bendroflumethiazide 2.5mg tablets (A A H Pharmaceuticals Ltd)
34059,Bendroflumethiazide 2.5mg tablets (Actavis UK Ltd)
34124,Bendroflumethiazide 5mg tablets (Actavis UK Ltd)
34602,Bendroflumethiazide 2.5mg tablets (Sovereign Medical Ltd)
34803,Bendroflumethiazide 2.5mg Tablet (Regent Laboratories Ltd)
40149,Bendroflumethiazide 5mg tablets (IVAX Pharmaceuticals UK Ltd)
40886,Bendroflumethiazide 2.5mg tablets (Almus Pharmaceuticals Ltd)
41517,Bendroflumethiazide 5mg tablets (Teva UK Ltd)
46302,Neo-Naclex 2.5mg tablets (Advanz Pharma)
47844,Bendroflumethiazide 2.5mg tablets (Kent Pharmaceuticals Ltd)
53812,Bendroflumethiazide oral solution
64907,Bendroflumethiazide 5mg tablets (Almus Pharmaceuticals Ltd)
66517,Bendroflumethiazide 1.25mg/5ml oral suspension
67737,Bendroflumethiazide 2.5mg tablets (Dr Reddy's Laboratories (UK) Ltd)
67738,Bendroflumethiazide 5mg tablets (Dr Reddy's Laboratories (UK) Ltd)
67780,Bendroflumethiazide 5mg tablets (DE Pharmaceuticals)
70989,Bendroflumethiazide 2.5mg tablets (Genesis Pharmaceuticals Ltd)
72042,Bendroflumethiazide 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
72083,Bendroflumethiazide 5mg tablets (Waymade Healthcare Plc)
72914,Bendroflumethiazide 2.5mg Tablet (Celltech Pharma Europe Ltd)
77681,Bendroflumethiazide 5mg tablets (Mylan)
78220,Bendroflumethiazide 5mg tablets (Sovereign Medical Ltd)
78374,Bendroflumethiazide 1.25mg with Potassium 573mg modified-release tablets
78488,Bendroflumethiazide 5mg/5ml oral suspension
12110,Hydroflumethiazide 50mg Tablet
13525,Hydrenox 50mg Tablet (Knoll Ltd)
542,Hydrochlorothiazide 25mg tablets
3517,Hydrochlorothiazide 50mg tablets
12440,Hydrosaluric 25mg tablets (Merck Sharp & Dohme Ltd)
13363,Esidrex 50mg Tablet (Novartis Pharmaceuticals UK Ltd)
13472,ESIDREX-K TAB
16632,Hydrosaluric 50mg tablets (Merck Sharp & Dohme Ltd)
17252,Esidrex 25mg Tablet (Novartis Pharmaceuticals UK Ltd)
36519,Esidrex -k Tablet (Novartis Pharmaceuticals UK Ltd)
48132,Hydrochlorothiazide Capsule
57488,Hydrochlorothiazide Oral solution
62516,Hydrochlorothiazide 12.5mg tablets
6816,Chlorothiazide 250mg/5ml oral suspension
8836,Chlorothiazide 500mg tablets
13246,Chlorothiazide 150mg/5ml oral suspension
17720,Saluric 500mg Tablet (Merck Sharp & Dohme Ltd)
22525,CHLOROTHIAZIDE 250 MG SYR
26120,CHLOROTHIAZIDE 50 MG SUS
27489,CHLOROTHIAZIDE 25 MG LIQ
31235,CHLOROTHIAZIDE SACHETS 60 MG
33724,Diuril 250mg/5ml oral suspension (Imported (United States))
54341,Chlorothiazide 5mg/5ml oral suspension
54679,Chlorothiazide 250mg tablets
55889,Chlorothiazide oral solution
56804,Chlorothiazide 25mg/5ml oral suspension
59834,Chlorothiazide 250mg/5ml oral solution
60603,Chlorothiazide 50mg/5ml oral suspension
63227,Chlorothiazide 70mg/5ml oral solution
64798,Chlorothiazide 120mg/5ml oral solution
71871,Chlorothiazide 60mg/5ml oral suspension
73441,Chlorothiazide 200mg/5ml oral solution
74153,Chlorothiazide 10mg/5ml oral solution
75957,Chlorothiazide 5mg/5ml oral solution
76031,Chlorothiazide 250mg/5ml oral solution (Special Order)
77162,Chlorothiazide 12.5mg/5ml oral solution
77850,Chlorothiazide 500mg/5ml oral solution
79798,Chlorothiazide 500mg tablets
80095,Chlorothiazide 40mg/5ml oral suspension
12360,Nephril 1mg Tablet (Pfizer Ltd)
12926,Polythiazide 1mg tablets
1125,Navidrex -k Tablet (Novartis Pharmaceuticals UK Ltd)
1170,Cyclopenthiazide 500microgram tablets
2046,Navidrex 500microgram tablets (Advanz Pharma)
2833,CYCLOPENTHIAZIDE -K tablets
22242,"NAVIDREX"
23492,CYCLOPENTHIAZIDE 250MCG/K 8.1MMOL
18267,Enduron 5mg Tablet (Abbott Laboratories Ltd)
20057,Methyclothiazide 5mg Tablet
30368,CHLOROTHIAZIDE/SPIRONOLACTONE SACHETS 100 MG
53508,Spironolactone 5mg/5ml / Chlorothiazide 50mg/5ml oral suspension
1297,Aldactide 50 tablets (Pfizer Ltd)
2001,Aldactide 25 tablets (Pfizer Ltd)
7961,Spironolactone 50mg with hydroflumethiazide 50mg tablet
8521,Spironolactone 25mg with hydroflumethiazide 25mg tablet
11384,Co-flumactone 50mg/50mg tablets
15811,Co-flumactone 25mg/25mg tablets
17721,ALDACTIDE 100 MG TAB
25505,Spiro-co 50mg+50mg Tablet (IVAX Pharmaceuticals UK Ltd)
29529,Hydroflumethiazide with spironolactone 25mg+25mg Tablet
31131,Spiro-co 25mg+25mg Tablet (IVAX Pharmaceuticals UK Ltd)
45916,Hydroflumethiazide with spironolactone 50mg+50mg Tablet
18983,Brinaldix k Effervescent tablet (Berk Pharmaceuticals Ltd)
22839,Clopamide with Potassium effervescent tablets
25630,BRINALDIX K EFFERVESCENT
605,Chlortalidone 50mg tablets
3054,Hygroton 100mg Tablet (Alliance Pharmaceuticals Ltd)
3548,Chlortalidone 100mg tablets
3997,Hygroton 50mg tablets (Alliance Pharmaceuticals Ltd)
8891,Hygroton -k Tablet (Novartis Pharmaceuticals UK Ltd)
10796,CHLORTHALIDONE 25MG/POTASSIUM6.7MMOL S/R MG TAB
20160,CHLORTHALIDONE 500 MG TAB
74942,Chlortalidone 50mg/5ml oral suspension
75383,Chlortalidone 25mg tablets
15457,Baycaron 25mg Tablet (Bayer Plc)
17143,Mefruside 25mg Tablet
4332,Metolazone 5mg tablets
4334,Metolazone 500microgram low dose Tablet
8602,Metenix 5mg tablets (Sanofi)
19352,Xuret 0.5mg Tablet (Galen Ltd)
49752,Metolazone 2.5mg/5ml oral solution
53674,Metolazone 2.5mg tablets
54329,Metolazone 5mg/5ml oral suspension
54643,Metolazone Oral solution
55777,Metolazone 5mg/5ml oral solution
61846,Zaroxolyn 2.5mg tablets (IDIS)
68432,Metolazone 2.5mg/5ml oral suspension
69009,Zaroxolyn 5mg tablets (Imported (Canada))
75260,Zaroxolyn 2.5mg tablets (Imported (Canada))
4044,Diurexan 20mg tablets (Mylan)
26675,XIPAMIDE
7618,Xipamide 20mg tablets
2612,Indapamide 2.5mg tablets
3056,Natrilix SR 1.5mg tablets (Servier Laboratories Ltd)
5112,Indapamide 1.5mg modified-release tablets
7641,Natrilix 2.5mg tablets (Servier Laboratories Ltd)
15602,"NATRILIX 5 MG TAB"
26256,Opumide 2.5mg Tablet (Opus Pharmaceuticals Ltd)
26275,Nindaxa 2.5 tablets (Ashbourne Pharmaceuticals Ltd)
27957,Natramid 2.5mg Tablet (Trinity Pharmaceuticals Ltd)
33083,Indapamide 2.5mg tablets (Teva UK Ltd)
34551,Indapamide 2.5mg tablets (Mylan)
39447,Varbim XL 1.5mg tablets (Teva UK Ltd)
40907,Indapamide 2.5mg tablets (Genus Pharmaceuticals Ltd)
41861,Tensaid XL 1.5mg tablets (Mylan)
41885,Ethibide XL 1.5mg tablets (Genus Pharmaceuticals Ltd)
42906,Indapamide 2.5mg tablets (Niche Generics Ltd)
43184,Mapemid XL 1.5mg tablets (Teva UK Ltd)
43516,Indapamide 2.5mg tablets (Actavis UK Ltd)
44168,Indipam XL 1.5mg tablets (Actavis UK Ltd)
46675,Indapamide 1.5mg modified-release tablets (A A H Pharmaceuticals Ltd)
48079,Indapamide 2.5mg tablets (Zentiva)
48099,Indapamide 2.5mg tablets (A A H Pharmaceuticals Ltd)
49529,Indapamide 2.5mg tablets (Phoenix Healthcare Distribution Ltd)
54316,Indapamide 2.5mg tablets (Alliance Healthcare (Distribution) Ltd)
55259,Indapamide 2.5mg tablets (Kent Pharmaceuticals Ltd)
56296,Indapamide 2.5mg tablets (Boston Healthcare Ltd)
56760,Indapamide 2.5mg tablets (Strides Pharma UK Ltd)
59616,Rawel XL 1.5mg tablets (Consilient Health Ltd)
60020,Indapamide 1.5mg modified-release tablets (Waymade Healthcare Plc)
62066,Cardide SR 1.5mg tablets (Teva UK Ltd)
62771,Indapamide 1.5mg modified-release tablets (DE Pharmaceuticals)
64066,Indapamide 2.5mg/5ml oral suspension
70509,Indapamide 2.5mg tablets (DE Pharmaceuticals)
74172,Indapamide 1.5mg modified-release tablets (Sigma Pharmaceuticals Plc)
77406,Natrilix 2.5mg tablets (Mawdsley-Brooks & Company Ltd)
77449,Natrilix SR 1.5mg tablets (Waymade Healthcare Plc)
29242,CLOREXOLONE 10 MG TAB
31013,Mersalyl 50mg/ml Injection
6,Furosemide 40mg tablets
55,Furosemide 20mg tablets
562,Furosemide 10mg/ml Injection
3248,Furosemide 500mg tablets
3287,Furosemide 1mg/ml Oral solution
4182,Lasix 5mg/5ml oral solution (Borg Medicare)
4258,Lasix 20mg/2ml solution for injection ampoules (Sanofi)
4705,Furosemide 20mg/2ml Injection
5249,Furosemide 50mg/5ml oral solution sugar free
5728,Furosemide 40mg/5ml oral solution sugar free
5868,Frusol 20mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)
6118,Furosemide 20mg/5ml oral solution sugar free
7582,Lasikal modified-release tablets (Borg Medicare)
7606,Lasix 40mg tablets (Sanofi)
7734,Diumide-K Continus tablets (Teofarma)
7799,Lasix 20mg tablets (Borg Medicare)
8102,Furosemide 40mg / Potassium chloride 600mg (potassium 8mmol) modified-release tablets
9680,Frusol 40mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)
10392,Lasix 500mg tablets (Sanofi)
10422,Lasix 50mg/5ml Injection (Hoechst UK Ltd)
10781,Lasix with k Tablet (Hoechst Marion Roussel)
12318,Lasix 250mg/25ml Injection (Hoechst Marion Roussel)
14761,Frusid 40mg tablets (Dr Reddy's Laboratories (UK) Ltd)
14837,Frusol 50mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)
16206,Froop 40mg tablets (Ashbourne Pharmaceuticals Ltd)
17960,Furosemide 20mg / Potassium chloride 750mg (potassium 10mmol) modified-release tablets
18716,Dryptal 10mg/ml Injection (Berk Pharmaceuticals Ltd)
19056,Furosemide 50mg/5ml sugar free Oral solution (Rosemont Pharmaceuticals Ltd)
19192,Furosemide 40mg Tablet (M & A Pharmachem Ltd)
19194,Furosemide 20mg tablets (Teva UK Ltd)
19258,Furosemide 50mg/5ml solution for injection ampoules
20513,LASIX 10 MG INJ
20538,Frumax 40mg Tablet (Ashbourne Pharmaceuticals Ltd)
21849,Dryptal 40mg Tablet (Berk Pharmaceuticals Ltd)
22539,LASIX (2ML)
23256,LASIX PAED
24835,Min-i-jet furosemide 10mg/ml Injection (Celltech Pharma Europe Ltd)
25334,Furosemide 500mg tablets (A A H Pharmaceuticals Ltd)
25717,Furosemide 40mg tablets (Mylan)
26292,Diuresal 40mg Tablet (Lagap)
26328,LASIX (25ML)
27447,Furosemide 40mg tablets (Wockhardt UK Ltd)
27690,Furosemide 40mg tablets (A A H Pharmaceuticals Ltd)
27696,Furosemide 40mg tablets (Kent Pharmaceuticals Ltd)
27926,Furosemide 20mg tablets (Mylan)
29780,Furosemide 20mg Tablet (C P Pharmaceuticals Ltd)
30625,Furosemide 20mg tablets (A A H Pharmaceuticals Ltd)
30875,Furosemide 250mg/25ml solution for injection ampoules
31548,Furosemide 20mg tablets (Actavis UK Ltd)
32277,Furosemide 80mg/8ml solution for injection pre-filled syringes
32896,Furosemide 40mg tablets (Ranbaxy (UK) Ltd)
32918,Furosemide 20mg tablets (Sandoz Ltd)
34006,Furosemide 40mg tablets (Actavis UK Ltd)
34374,Furosemide 40mg tablets (Teva UK Ltd)
34557,Furosemide 40mg tablets (IVAX Pharmaceuticals UK Ltd)
35162,Furosemide 20mg/2ml solution for injection ampoules
36190,Furosemide 5mg/5ml oral solution sugar free
40247,Furosemide 10mg/ml Injection (Martindale Pharmaceuticals Ltd)
41292,Furosemide 20mg tablets (Wockhardt UK Ltd)
41405,Furosemide 500mg tablets (Teva UK Ltd)
41828,Furosemide 500mg tablets (Accord Healthcare Ltd)
42388,Furosemide 40mg/5ml oral solution sugar free (Advanz Pharma)
42488,Furosemide 40mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
46116,Furosemide 10mg/ml Injection (Antigen Pharmaceuticals)
46699,Furosemide 40mg tablets (Almus Pharmaceuticals Ltd)
46948,Furosemide 40mg tablets (Arrow Generics Ltd)
47815,Furosemide 20mg Tablet (Celltech Pharma Europe Ltd)
49268,Furosemide 50mg/5ml oral suspension
51983,Furosemide 5mg/5ml oral suspension
52045,Furosemide 250mg/5ml solution for injection vials
52887,Furosemide 20mg/2ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
52900,Furosemide 80mg/8ml solution for injection Minijet pre-filled syringes (UCB Pharma Ltd)
53967,Furosemide 20mg tablets (Bristol Laboratories Ltd)
54825,Furosemide 20mg tablets (Sigma Pharmaceuticals Plc)
55738,Furosemide 50mg/5ml solution for injection ampoules (Hameln Pharmaceuticals Ltd)
56051,Furosemide 20mg tablets (Kent Pharmaceuticals Ltd)
56375,Furosemide 40mg tablets (Accord Healthcare Ltd)
57600,Furosemide 20mg/2ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd)
57610,Furosemide 20mg/5ml oral solution sugar free (Advanz Pharma)
58078,Furosemide 8mg/5ml oral solution
58224,Furosemide 10mg/5ml oral solution
59030,Furosemide 20mg/5ml oral solution
59290,Furosemide 20mg tablets (Alliance Healthcare (Distribution) Ltd)
59884,Furosemide 20mg tablets (Phoenix Healthcare Distribution Ltd)
59911,Furosemide 40mg tablets (Alliance Healthcare (Distribution) Ltd)
59939,Furosemide 20mg/5ml oral suspension
60291,Furosemide 40mg tablets (Advanz Pharma)
60465,Furosemide 5mg/5ml oral solution
61365,Furosemide 40mg/5ml oral suspension
61475,Furosemide 20mg tablets (DE Pharmaceuticals)
63237,Furosemide 20mg tablets (Boston Healthcare Ltd)
64255,Furosemide 2mg/5ml oral solution
64677,Furosemide 40mg tablets (DE Pharmaceuticals)
64745,Furosemide 8mg/5ml oral suspension
65583,Furosemide 3mg/5ml oral solution
66017,Furosemide 20mg tablets (Almus Pharmaceuticals Ltd)
66149,Furosemide 4.5mg/5ml oral solution
67910,Furosemide 40mg/5ml oral solution
68068,Furosemide 4mg/5ml oral solution
69338,Furosemide 40mg/5ml sugar free Oral solution (Rosemont Pharmaceuticals Ltd)
69445,Furosemide 40mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc)
70650,Furosemide 50mg/5ml solution for injection ampoules (Peckforton Pharmaceuticals Ltd)
71406,Furosemide 1mg/5ml oral solution
71950,Furosemide 20mg tablets (Waymade Healthcare Plc)
73171,Furosemide Oral solution
73480,Furosemide 20mg/5ml sugar free Oral solution (Rosemont Pharmaceuticals Ltd)
74381,Furosemide 3mg/5ml oral suspension
74677,Furosemide 40mg tablets (Mawdsley-Brooks & Company Ltd)
74926,Furosemide 20mg tablets (Crescent Pharma Ltd)
75855,Furosemide 10mg/5ml oral suspension
76157,Furosemide 50mg/5ml oral solution
76323,Furosemide 40mg tablets (Crescent Pharma Ltd)
76934,Furosemide 6.5mg/5ml oral solution
77333,Aluzine 20mg Tablet (M A Steinhard Ltd)
77566,Furosemide 40mg tablets (Bristol Laboratories Ltd)
78229,Furosemide 20mg/2ml solution for injection ampoules (Wockhardt UK Ltd)
78257,Furosemide 80mg/5ml oral suspension
78265,Furosemide 20mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)
79368,Furosemide 500mg Tablet (Berk Pharmaceuticals Ltd)
79677,Furosemide 20mg/2ml Injection (Celltech Pharma Europe Ltd)
79904,Furosemide 40mg tablets (Boston Healthcare Ltd)
814,Bumetanide 1mg tablets
1776,Burinex K modified-release tablets (LEO Pharma)
2788,Burinex 1mg tablets (LEO Pharma)
5218,Bumetanide 1mg/5ml oral solution sugar free
6160,Bumetanide 500microgram / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets
7806,Bumetanide 5mg tablets
12226,Burinex 1mg/5ml Oral solution (LEO Pharma)
12294,Burinex 5mg tablets (LEO Pharma)
15341,Burinex 0.5mg/ml Injection (LEO Pharma)
19300,Bumetanide 2mg/4ml solution for injection ampoules
19683,BURINEX K
27555,BURINEX
30913,Betinex 1mg Tablet (Berk Pharmaceuticals Ltd)
31932,Bumetanide 1mg tablets (C P Pharmaceuticals Ltd)
32091,Bumetanide 1mg tablets (A A H Pharmaceuticals Ltd)
34613,Bumetanide 5mg tablets (Teva UK Ltd)
34934,Bumetanide 1mg tablets (Mylan)
36767,Bumetanide 1mg tablets (IVAX Pharmaceuticals UK Ltd)
39602,Bumetanide 1mg tablets (Actavis UK Ltd)
45305,Bumetanide 1mg tablets (Teva UK Ltd)
55548,Bumetanide 1mg tablets (Alliance Healthcare (Distribution) Ltd)
62024,Bumetanide 5mg tablets (A A H Pharmaceuticals Ltd)
63555,Bumetanide 1mg tablets (Phoenix Healthcare Distribution Ltd)
66195,Bumetanide 1mg tablets (Almus Pharmaceuticals Ltd)
73152,Bumetanide 1mg tablets (Waymade Healthcare Plc)
73195,Bumetanide 1mg tablets (DE Pharmaceuticals)
74814,Bumetanide 1mg tablets (Niche Generics Ltd)
7709,Arelix 6mg Capsule (Hoechst Marion Roussel)
12367,Piretanide 6mg capsule
8052,Torasemide 5mg tablets
10066,Torem 5mg tablets (Mylan)
11268,Torem 2.5mg tablets (Mylan)
11487,Torasemide 2.5mg tablets
18096,Torasemide 10mg tablets
22658,Torem 10mg tablets (Mylan)
40190,Torasemide iv 20mg/4ml Intravenous injection
40738,Torem iv 10mg/2ml Intravenous injection (Boehringer Mannheim UK Ltd)
40898,Torasemide 5mg tablets (A A H Pharmaceuticals Ltd)
46525,Torasemide 5mg tablets (Teva UK Ltd)
18650,Edecrin 50mg Tablet (Merck Sharp & Dohme Ltd)
12354,Etacrynic 50mg tablets
32002,Etacrynic 50mg/vial injection
692,Spironolactone 25mg tablets
708,Spironolactone 50mg tablets
787,Spironolactone 100mg capsule
2142,Spironolactone 100mg tablets
2389,Aldactone 25mg tablets (Pfizer Ltd)
4161,Spiroctan 25mg Tablet (Roche Products Ltd)
4960,Aldactone 50mg tablets (Pfizer Ltd)
6815,Spironolactone 50mg/5ml oral suspension sugar free
7952,Aldactone 100mg tablets (Pfizer Ltd)
7991,Spiroctan 100mg Capsule (Roche Products Ltd)
10214,Spironolactone 5mg/5ml oral suspension sugar free
11156,Spirolone 25mg Tablet (Berk Pharmaceuticals Ltd)
11519,Spironolactone 25mg/5ml oral suspension sugar free
12946,Spironolactone 10mg/5ml oral suspension sugar free
13264,Spironolactone 15mg/5ml oral suspension
14109,Spironolactone 100mg/5ml oral solution sugar free
15052,Spiroctan 50mg Tablet (Roche Products Ltd)
15053,SPIRONOLACTONE 10 MG/5ML LIQ
17902,Spirolone 100mg Tablet (Berk Pharmaceuticals Ltd)
17950,Spirolone 50mg Tablet (Berk Pharmaceuticals Ltd)
19195,Spironolactone 50mg Tablet (Wyeth Pharmaceuticals)
21911,Spirospare 25mg Tablet (Ashbourne Pharmaceuticals Ltd)
23091,Spirospare 100 tablets (Ashbourne Pharmaceuticals Ltd)
25494,Diatensec 50mg Tablet (Pharmacia Ltd)
29397,Spiretic 100mg Tablet (DDSA Pharmaceuticals Ltd)
31219,Spironolactone 100mg tablets (A A H Pharmaceuticals Ltd)
31529,Spironolactone 25mg tablets (Teva UK Ltd)
32837,Spironolactone 50mg tablets (Teva UK Ltd)
34296,Spironolactone 25mg tablets (A A H Pharmaceuticals Ltd)
34347,Spironolactone 25mg tablets (Actavis UK Ltd)
34908,Spironolactone 25mg tablets (IVAX Pharmaceuticals UK Ltd)
35789,Spironolactone 25mg Tablet (Celltech Pharma Europe Ltd)
41074,Spironolactone 25mg tablets (Almus Pharmaceuticals Ltd)
41592,Spironolactone 100mg tablets (Actavis UK Ltd)
41660,Spironolactone 100mg tablets (Teva UK Ltd)
41706,Spironolactone 50mg tablets (IVAX Pharmaceuticals UK Ltd)
43514,Spironolactone 50mg tablets (A A H Pharmaceuticals Ltd)
45078,Spironolactone 25mg/5ml Oral solution sugar free (Rosemont Pharmaceuticals Ltd)
46674,Spironolactone 50mg/5ml Oral suspension sugar free (Rosemont Pharmaceuticals Ltd)
46990,Spironolactone 50mg/5ml oral suspension
47018,Spironolactone 25mg/5ml oral suspension
47687,Spiretic 25mg Tablet (DDSA Pharmaceuticals Ltd)
49388,Spironolactone 100mg/5ml oral suspension
50079,Spironolactone 10mg/5ml oral suspension
50370,Spironolactone 5mg/5ml oral suspension
51652,Spironolactone 25mg tablets (DE Pharmaceuticals)
51720,Spironolactone 25mg/5ml oral solution
51933,Spironolactone 50mg/5ml oral solution
52366,Spironolactone 5mg/5ml oral solution
52970,Spironolactone 10mg/5ml oral solution
53253,Spironolactone 50mg/5ml oral suspension (Drug Tariff Special Order)
54120,Spironolactone 4mg/5ml oral suspension
56067,Spironolactone 4mg/5ml oral solution
56274,Spironolactone 4.5mg/5ml oral suspension
56536,Spironolactone 100mg/5ml oral solution
57104,Spironolactone 200mg/5ml oral suspension
57556,Spironolactone 12mg/5ml oral solution
57933,Spironolactone 40mg/5ml oral suspension
58077,Spironolactone 8mg/5ml oral suspension
58225,Spironolactone 2.5mg/5ml oral suspension
58757,Spironolactone 20mg/5ml oral suspension
60343,Spironolactone 25mg tablets (Kent Pharmaceuticals Ltd)
60660,Spironolactone 3mg/5ml oral suspension
61025,Spironolactone 20mg/5ml oral solution
63309,Spironolactone 6mg/5ml oral suspension
65582,Spironolactone 3mg/5ml oral solution
65822,Spironolactone 12.5mg/5ml oral suspension
67913,Spironolactone 50mg tablets (Kent Pharmaceuticals Ltd)
69473,Spironolactone 3.5mg/5ml oral suspension
71010,Spironolactone 25mg tablets (Genesis Pharmaceuticals Ltd)
71398,Spironolactone 12.5mg/5ml oral solution
73208,Spironolactone 7mg/5ml oral suspension
73644,Spironolactone 25mg tablets (Dr Reddy's Laboratories (UK) Ltd)
74154,Spironolactone 2mg/5ml oral suspension
74285,Spironolactone 25mg/5ml oral suspension (Drug Tariff Special Order)
74631,Spironolactone 50mg tablets (Actavis UK Ltd)
75413,Spironolactone 8mg/5ml oral solution (Special Order)
75488,Spironolactone 250mg/5ml oral suspension
75593,Spironolactone 10mg/5ml Oral solution sugar free (Rosemont Pharmaceuticals Ltd)
